interactor_A	interactor_B
O18181	O16500
Q23158	O16500
Q23237	O16500
O62415	O16500
O62416	O16500
Q95PZ0	O16500
Q9NES7	O16500
Q9U1T5	O16500
Q23390	O16500
Q9N4I4	O16500
Q9U3D4	Q17622
P42170	P42170
P91001	G5EFS1
Q21443	O44452
G5EFS1	G5EFS1
Q9TZK8	G5EFS1
P14792	G5EFS1
O44821	G5EFS1
G5EFS1	P41886
EBI-314141	G5EFS1
Q21225	G5EFS1
Q9XXM6	G5EFS1
Q03601	G5EFS1
Q22494	G5EFS1
Q22166	G5EFS1
Q21648	G5EFS1
P34766	Q9XVE6
Q23500	G5EFS1
O76449	G5EFS1
Q9NES7	G5EFS1
Q966C6	Q9XVE6
O44738	Q9XVE6
G5EBY0	Q9XVE6
Q9N4B8	Q9XVE6
Q9U281	Q9XVE6
O16313	O16313
Q9XUE7	O16313
Q93694	O16313
Q18241	O16313
EBI-314297	O16313
Q94251	O16313
Q8I136	O16313
Q9N5S5	Q11189
P42171	Q11189
Q9XVZ1	O16313
O76447	Q11189
P91820	Q11189
Q21626	Q11189
Q18964	Q9GYJ9
Q18503	Q9GYJ9
Q18089	Q9GYJ9
O02268	Q9GYJ9
Q93561	Q9GYJ9
O61521	Q9GYJ9
Q9N431	Q9GYJ9
Q9GYJ9	Q21648
Q23187	Q9GYJ9
Q9U1S5	Q9GYJ9
EBI-312040	Q9GYJ9
O44189	Q17728
O01869	Q17728
Q95XR0	Q17675
P27798	Q17728
Q17635	Q17728
Q21746	Q17728
P41829	Q9N5Z3
P27798	Q17771
P46563	Q17771
Q19374	P47209
O45815	Q9N5Z3
O61816	Q95YF3
Q9XVF7	Q95YF3
EBI-314552	Q95YF3
Q18264	Q95YF3
Q09232	Q95YF3
Q9GUC8	Q95YF3
P91209	Q95YF3
Q9XVV1	Q95YF3
Q20660	Q95YF3
Q10454	Q95YF3
G5EDD8	Q95YF3
O62385	Q95YF3
Q21740	Q95YF3
Q9XXL8	Q95YF3
H2KZI3	Q95YF3
P21541	Q95ZT1
P34766	P21541
G5EBG0	P21541
O45006	P21541
O44768	P21541
Q10902	Q9XVV3
P27604	Q09227
Q9N5S5	Q9XVV3
Q18688	Q9XVV3
P34766	Q9XVV3
P34604	Q9XVV3
O02482	Q9XVV3
O45622	Q9XVV3
Q17975	Q17862
Q9XWU7	Q9BMN8
P56173	O01761
Q22251	Q17862
O18036	Q17862
G5EFW3	Q17862
Q9GYG1	Q17862
Q9NET8	Q17862
G5EBY5	Q17862
O44669	Q17868
EBI-314866	Q17868
EBI-314851	Q17862
Q18529	Q17868
Q10902	Q17868
P53013	Q17868
Q93703	Q17868
Q20052	Q17868
O45441	Q17868
Q20798	Q17868
Q20772	Q17868
Q09565	Q17868
Q07292	Q17868
Q22100	Q17868
H2KZR1	Q17868
Q9GYS1	Q18547
O16682	Q17868
EBI-314953	Q17868
P34526	Q9GYS1
Q19788	Q9GYS1
H2KZR3	Q9GYS1
Q20709	Q17886
O18259	P90745
Q9NAE1	P90745
Q9NET4	P90745
Q18043	Q17936
Q09436	Q17936
Q18241	Q17936
G5ECY0	Q17936
Q18094	Q17936
Q9XV46	Q17936
Q9XVN9	Q17936
Q18937	Q17936
Q9U1W1	Q17936
G5EF87	Q17936
O01900	Q17936
O18302	Q17936
P30651	Q17936
Q23422	Q17936
Q23359	Q17936
Q9XXT5	O01927
Q9N4B8	Q09236
Q18502	Q17958
Q17732	Q17958
G5EBE2	Q17958
H2L099	Q17958
Q19275	Q17958
Q21746	Q17961
Q23595	Q17958
Q95PZ7	Q17958
O61708	P34331
Q20453	P34331
G5EGP8	P34331
P34331	Q86NE1
Q09417	P34334
Q9XU98	P29355
Q9XVW8	P29355
Q21746	Q18032
O45078	Q18033
G5EDZ2	Q18036
P34371	Q18036
O44480	Q18033
P41829	Q18033
Q09279	Q18033
P34766	Q18033
P34429	Q18033
P14792	Q18033
G5EG61	Q18033
P61866	Q18033
O45603	Q18033
Q20877	Q18033
Q9N4B8	Q18033
P10983	Q18033
Q21215	Q18033
O45603	P81299
P51404	P81299
Q21746	Q09957
G5EG49	P81299
P81299	O45830
O62415	Q18075
Q21648	Q18075
Q09975	Q18075
O01482	P46822
Q17581	P46822
P91001	P46822
P46822	P46822
Q93228	P46822
G5EBU5	P46822
EBI-315639	P46822
P25807	P46822
P91131	P46822
Q95Y99	P46822
H2L044	P46822
O01802	P46822
Q9XW20	P46822
Q9TZH8	P46822
P34540	P46822
P34609	P46822
Q95XR0	P46822
Q966C7	P46822
Q9XTZ2	P91306
Q9XX25	Q18081
O01876	Q18081
H2KYH8	Q09485
Q10929	Q09485
G5EBG0	Q18090
Q18042	Q09485
EBI-315765	Q09485
Q17763	Q09485
Q18945	Q09485
Q18529	Q09485
P43510	Q09485
Q9GZH0	Q09485
Q19059	Q09485
Q20759	Q09485
G5EGG0	Q09485
P34576	Q09485
Q09485	Q93831
Q9XVK6	Q09485
Q21701	Q09485
Q21418	Q09485
Q9N582	Q09485
G5ED84	Q09485
P91820	Q09485
Q9N3Y1	Q09485
Q9N3Z0	Q09485
Q965X6	Q09485
G5ECN5	Q09485
Q9U2D8	Q09485
G5EEM0	Q09485
O02327	P48152
P34604	Q09485
O18240	Q09485
O45080	Q9GYR5
O76840	EBI-315978
P41829	Q9GYR5
H2KYP0	EBI-315978
H2KZG6	EBI-315978
Q22631	EBI-315978
Q09983	EBI-315978
P52709	Q18124
O45799	EBI-315978
G5ECJ5	Q95X82
Q21746	Q18124
G5ED84	Q9XVR6
P35129	Q9XVR6
Q9NEN6	Q95X82
Q95QJ7	P51875
Q23158	Q18195
P34766	Q18195
Q20178	P51875
EBI-316077	P51875
Q965M4	P51875
P50880	Q18238
P47991	P51875
Q93930	P51875
Q20136	Q18238
Q17334	Q18238
O18650	Q18238
Q9NES7	Q18238
O45198	Q18238
Q9NA40	Q18238
H2KY91	Q18240
Q21793	Q18240
H2KY76	Q18240
Q18426	Q18268
O01862	Q18240
P10984	Q18240
O45603	Q18268
Q18268	O45865
Q20239	Q18268
Q19289	Q27473
Q09474	Q09474
O62107	Q09474
G5ED84	Q09474
Q9N5Y2	Q09248
Q09248	Q09248
P46561	Q09248
Q93573	Q09248
Q19289	Q09248
O16366	Q09248
Q21215	Q09248
O44858	Q09248
Q965K5	Q09248
O45865	Q09248
O45904	Q09248
Q9NA98	Q09248
Q20956	Q09476
O02053	Q09248
G5EFL5	Q09476
Q18616	Q09477
EBI-316369	Q09477
P92004	Q09477
Q22227	Q09477
Q09560	Q09477
P91430	P34345
P43509	Q09477
Q9NES7	Q09477
Q21746	Q9XUH6
Q95Y72	Q04908
Q9NES8	Q93319
P30629	Q93319
Q18530	O16580
EBI-316490	O16580
O16580	Q19937
Q9U2U9	O16581
Q20892	O16580
G5EET8	O16581
Q17905	O76828
P34465	O76828
Q9GUI5	O16581
P10038	O44949
P34766	O44949
O18302	P90771
H2KYV3	Q18421
Q11100	Q18438
Q18438	G5EGB8
G5EET3	Q18438
H2L0K1	Q18438
O01426	P46577
Q9XW68	P46577
Q19872	P46561
Q03571	EBI-316641
Q22977	Q18476
Q23215	Q18476
Q19899	P52478
P91419	P52478
P34537	P52478
Q09967	Q45FX5
Q23090	P52478
P34766	Q45FX5
P53013	Q45FX5
Q22847	Q45FX5
Q10902	Q18488
Q9XW88	Q45FX5
O01634	Q45FX5
Q9XW88	Q18488
Q18488	Q19774
G5ED84	O01504
G5EFG9	O01502
P91913	O01504
Q18688	O76840
O45521	O76840
Q09596	Q03570
Q93714	Q93353
Q22347	Q93354
Q9U2R6	Q03570
Q27475	P46941
H2KYI1	P46941
Q09510	P46941
O45539	P46941
Q9XTV9	P46941
O45712	P46941
Q22378	P46941
Q9U357	P46941
O17020	P46941
G5ECL6	P46941
P34766	Q18511
O17209	G5ECK7
P46563	G5ECK7
O45503	G5ECK7
P90868	G5ECK7
G5ECK7	EBI-317082
O17038	G5ECK7
G5EF16	G5ECK7
O18246	G5ECK7
Q17460	Q9TZA7
O02053	G5ECK7
O16511	Q9TZA7
P46563	Q9TZA7
O61521	Q9TZA7
Q18089	Q9TZA7
Q9NES7	Q9TZA7
Q19684	Q9TZA7
Q9GYK1	Q9XTG1
G5ED84	Q03598
A3QMB3	A3QMB3
Q03598	P91430
Q09589	EBI-317163
O16215	P91149
Q18959	O01908
Q17849	O01908
Q9XVF7	G5EEM6
Q17740	G5EEM6
Q20228	G5EEM6
P41829	G5EEM6
P34766	G5EEM6
Q95ZT1	G5EEM6
Q95QB5	G5EEM6
Q22847	G5EEM6
Q10454	G5EEM6
Q9NA39	G5EEM6
Q27532	G5EEM6
O16305	O17666
O16366	O17666
Q17410	O17666
Q21549	Q09278
Q23158	O17666
Q17549	Q09278
Q09506	O01497
O01902	Q09506
H2KYX3	Q09506
P91479	Q09506
G5EF99	Q09506
O44326	Q09506
Q09989	Q9GYJ3
Q19969	Q9GYJ3
Q19275	Q9GYJ3
O45552	Q9GYJ3
Q9XWI6	Q9GYJ3
Q9NES7	Q9GYJ3
Q9GYJ3	Q9NHZ6
Q9N2Z7	Q9GYJ3
H2KZR3	Q18668
EBI-317401	Q18668
O62082	Q18668
P41886	Q18668
O44821	Q18668
Q3Y409	Q18668
Q20709	Q18668
Q09580	Q18668
G5EET2	Q18668
O45797	Q18668
G5EGC9	Q18668
Q22694	Q18668
Q9XWR2	Q18668
Q9NF23	Q18668
Q9U2Z5	Q18668
Q9XXE5	Q18668
G5EBR1	Q18668
Q9U1W8	Q18668
Q17508	O17670
Q10923	O17670
Q21307	Q8IG65
O62020	O17670
O44447	O17670
Q11103	O17670
P10038	O17670
O17670	Q09228
EBI-315765	O17670
Q17865	O17670
Q17979	O17670
Q94166	O17670
Q18241	O17670
Q09260	O17670
Q18043	O17670
Q9XZI6	O17670
H2KZ78	O17670
Q8STF6	O17670
Q18937	O17670
Q9XXU2	O17670
Q9GYQ9	O17670
Q18999	O17670
EBI-317634	O17670
Q19007	O17670
G5EFF4	O17670
Q9GUC8	O17670
Q19610	O17670
H2L031	O17670
Q93619	O17670
G5EEG5	O17670
Q20677	O17670
G5ECJ4	O17670
Q20956	O17670
O17894	O17670
Q8MQ25	O17670
P34445	O17670
P52874	O17670
Q86G90	O17670
Q20968	O17670
Q21126	O17670
P34489	O17670
H2L0D2	O17670
Q21361	O17670
H2L0B3	O17670
Q21127	O17670
O45962	O17670
Q09580	O17670
O17670	G5EGG0
G5EEW7	O17670
O61708	O17670
O62332	O17670
G5EFY6	O17670
O02289	O17670
P28548	O17670
Q95ZK7	O17670
Q10572	O17670
Q22178	O17670
Q10014	O17670
P91820	O17670
G5EFG9	O17670
G5EGM3	O17670
Q9BIC1	O17670
G5EBV4	O17670
G5EF87	O17670
Q10666	O17670
H2L0M8	O17670
G5EF74	O17670
Q9N582	O17670
Q9NAE9	O17670
Q9N4Q7	O17670
Q9N3A3	O17670
Q9U1W1	O17670
Q9N4L9	O17670
Q9N4P3	O17670
Q9U1S2	O17670
Q9XUE5	Q27482
P90925	P34371
Q18241	P34371
Q18728	Q9XVR7
Q18776	Q18776
O76447	P34371
P27798	Q18776
G5ED84	Q18776
Q18799	Q18776
Q17886	O17695
Q9N3Y1	Q18776
O62198	O17695
P34369	O17695
Q18302	Q9XXU4
O16511	Q9XXU4
O44820	Q9XXU4
G5EDZ2	Q18809
P41932	Q18809
Q18809	Q18809
O16453	O16453
P53013	O16453
Q9TYS3	O16453
O02639	O16453
Q9NF14	O16453
Q22623	O16453
G5EEG1	O16453
Q9XWP3	O16443
O01576	O16443
P10567	H2KZG6
P34383	Q18869
O17754	Q18869
Q966M5	O44400
Q9U2M4	Q18869
G5EDZ2	Q18869
O44512	Q18869
Q18115	Q09289
Q09444	Q09289
Q9N3Y1	Q95QQ2
Q22857	Q09289
Q21955	Q09289
Q966M4	Q09289
Q23150	Q09510
O45946	Q09289
Q17400	O01869
Q9N4A7	O01870
Q17648	O01869
O16432	O01869
Q17417	O01869
Q18538	O01869
O62078	O01869
Q17884	O01869
Q18687	O01869
Q18573	O01869
Q03572	O01869
Q18967	O01869
O62126	O01869
EBI-311836	O01869
Q19853	O01869
O01869	O76562
Q19035	O01869
P91329	O01869
Q95X91	O01869
G5EFB3	O01869
Q21204	O01869
O44180	O01869
EBI-318395	O01869
EBI-318430	O01869
Q9NF15	O01869
Q22714	O01869
Q9N3T2	O01869
Q9NA78	O01869
Q9NAF6	O01869
O18229	O01869
O18228	O01869
Q9XW88	O01869
Q09360	O01869
