interactor_A	interactor_B
O22768	Q8GYN2
Q8GYN2	Q8H1Q3
Q8L745	Q8GYN2
Q8GYP4	Q9SCK1
Q8GYQ9	Q9FLF7
Q8GYS8	Q8GXA4
Q8GYS8	Q8VZW1
Q94F58	Q8GYS8
Q8GYS8	Q9FZK5
Q9SS37	Q8GYS8
Q8GYT3	Q9LW74
Q9SYG2	Q8GYT3
Q8GYX0	Q84JT5
Q9SUR9	F4JS25
Q9SUT5	F4JS25
Q8GYX3	Q6NQ80
Q8GYX3	Q8RWF8
Q8GYX3	Q9C9X0
Q9LVI4	Q8GYX3
Q8GYX3	Q9S736
Q8GYX3	Q9ZQ46
Q96331	Q8GYZ4
Q8GZ06	Q8GZ06
Q9S7W5	Q8GZ06
Q8GZ22	Q9SEI4
Q8GZ26	Q8VZS6
Q8GZ26	Q9ASW4
O22179	Q8GZ36
Q38829	Q8GZ36
Q8GZ36	Q9FHQ3
Q9LIK0	Q8GZ36
Q9LII8	Q8GZ70
Q8H0T0	Q8H0T0
Q8H0T4	O22768
Q8L732	Q8H0T6
F4JN35	Q8H0T6
Q94BX2	Q8H0T6
Q8H0T6	Q94F58
Q8H0V5	O22179
Q8H0V5	P29382
Q8H0V5	Q8GXL7
Q8H115	Q8H0V5
Q8H0V5	Q8H1S2
Q8H0V5	Q8L7I1
Q8H0V5	Q8RY59
Q8H0W6	Q8L745
Q8H0W6	Q8VZW1
Q8H0W6	Q94F58
Q500X1	Q8H0X2
Q8H0X2	Q8H0X2
Q8RY59	Q8H0X2
Q8LGS1	Q8H0X2
Q93Z00	Q8H0X2
Q8H0X2	Q9FTA2
Q8H0X2	Q9LVI4
Q8H0X2	Q9M336
Q8H0X2	Q9SJ56
Q8H0X2	Q9STS3
Q8H0X2	Q9XHZ3
Q949S4	Q8H106
Q9LIC6	Q8H106
Q8H106	Q9SZZ4
Q8H107	Q9LII8
Q93Z00	Q9C524
Q9LMR3	Q9C524
Q8LPN5	Q9FE63
Q9FFZ0	Q9FE63
Q9M384	Q9FE63
Q8H124	Q949S4
Q8H124	Q9C889
Q8H124	Q9LIC6
Q9SZZ4	Q8H124
Q9SJH7	Q8H156
Q8VZ95	Q8H157
Q8H157	F4JN35
Q8H174	O24408
Q8H174	Q38822
Q8H174	Q38824
Q93YR9	Q8H174
Q8H174	Q9ZSY8
Q8H175	Q9S7W5
Q8H176	Q9CAK8
Q93ZT6	Q0WLB5
Q9FK59	Q93ZT6
Q8H1F3	Q8H198
Q8VYL4	Q8H198
Q8H198	Q8W573
Q8H198	Q94AM9
Q8H198	Q9M155
Q8H198	Q9SCK1
Q8H1D4	Q8H1D4
Q8H1D6	Q93Z00
O23702	Q8H1D9
Q8H1E5	Q84MB2
Q8GYX3	Q8H1E5
Q8L7G9	Q8H1E5
Q8H1E5	Q8L7S4
Q96331	Q8H1E5
Q8H1E5	Q9LUV4
Q8H1E5	Q9S7W5
Q8H1E5	Q9SJ56
Q058I4	Q8H1F1
Q8GWR3	Q8H1F1
Q8H1F1	Q8GZ06
Q8H1F1	Q9FIR9
Q8H1F1	Q9LZL7
Q9S736	Q8H1F1
Q9STS3	Q8H1F1
Q8H1F3	Q9S7L6
P46639	Q8H1F4
Q8H1F4	Q94JQ3
Q8H1F4	Q96331
Q9LMQ3	Q8H1F4
Q9M9W9	Q8H1F4
Q8H1G4	Q8H1G4
Q8H1H8	Q9FGF3
Q8H1H8	Q9LVI4
Q9SZE4	Q8H1H8
Q8H1N8	Q9C4Z8
Q8H1N8	Q9LKL2
Q9LUV4	Q8H1N8
Q8LAZ7	Q8H1P9
O81313	Q8H7F6
Q8H7F6	Q058I4
Q38822	Q8H7F6
Q8LGS1	Q8H7F6
Q9LVG2	Q8H7F6
Q8H7F6	Q9SCK1
Q8H7F6	Q9SCU7
Q9ASS9	Q8L3P4
Q8L3R2	Q93Z00
Q0WLB5	Q0WLB5
Q0WLB5	Q8VZS6
Q0WLB5	Q9ASS9
Q8L3T0	Q9C9L2
Q8L3X7	Q6NQM2
Q96331	Q8L3X7
Q9SCK1	Q8L3X7
Q8L3X8	Q8L3X8
Q8L3X8	Q8RWN5
F4JRR5	Q38845
F4JRR5	Q84JL3
Q9C9L2	F4JRR5
Q9FNN2	F4JRR5
Q9SYI9	F4JRR5
Q8L402	O22286
Q94AI6	Q8L402
Q9FNR3	Q8L402
Q8L428	P43291
Q8L428	Q940H6
Q8L428	Q9C958
Q8L466	Q8LAK5
Q8LFL8	Q8L466
Q8L466	Q9ASQ1
Q8L466	Q9STS3
P25854	Q8L4D8
Q8L4D8	Q94AZ4
Q8L4K1	Q94F58
Q8L4M1	Q38845
F4K4J0	Q8L4M1
Q8L4M1	Q9C9L2
Q8L4X4	Q94F58
Q8L4Y2	Q94F58
Q8L4Z1	Q9LII8
Q8L4Z1	Q9ASS9
Q8L4Z1	Q9FIR9
Q8L4Z1	Q9FNR3
Q9LZL7	Q8L4Z1
Q8L502	Q9SU94
Q8L517	Q9LII8
Q8L517	Q949S4
Q94F58	Q8L517
Q9FG29	Q8L517
Q8L517	Q9FNR3
Q9SCK1	Q8L517
O04326	Q8L586
Q8L586	Q8VZ95
Q8VZW1	Q8L586
Q8L586	Q94F58
Q9FZK5	Q8L586
Q9LMQ8	Q8L586
Q9FVU9	Q8L5A7
O64471	Q8L5Y6
Q8L5Y6	P46639
Q8H1G0	Q8L5Y6
Q8L5Y6	Q93Z00
Q9FNR3	Q8L5Y6
Q8L5Y6	Q9LQW3
Q9LXE3	Q8L5Z0
Q8L5Z2	O22768
Q8GY72	Q8L5Z2
Q8L5Z2	Q9SYG2
Q8L5Z2	F4IK01
O22179	Q8L603
Q8L603	O23339
Q8L603	Q9LII8
Q8L603	Q84K72
Q8L603	Q8GXA4
Q8L603	Q0WLB5
Q8L603	Q8RWF8
Q8L603	O81851
Q93ZJ9	Q8L603
Q94BX2	Q8L603
Q9FNR3	Q8L603
Q9LIK0	Q8L603
Q8L603	Q9LVD7
Q8L603	Q9M155
Q8L603	Q9SYG2
Q9LII8	Q8L606
Q8VZ95	Q8L616
F4JN35	Q8L616
Q94F58	Q8L616
Q9FFS0	Q8L616
Q9FZK5	Q8L616
Q8L617	Q0WLB5
Q8L617	Q9SJH7
Q8L719	Q8L719
Q9T041	Q8L719
Q8L743	Q8L743
Q8L746	P43273
Q9LII8	Q8L763
Q8L795	O49617
Q8L795	Q9FKD7
Q38829	Q8L797
Q8L797	Q9LII8
Q8LC68	Q8L797
Q94BT0	Q8L797
Q96331	Q8L797
Q9CA59	Q8L797
Q8L797	Q9FGF5
Q9S7W5	Q8L797
Q8L797	Q9SCK1
Q84K25	Q8L7A6
Q8GW77	Q8L7A6
Q8H1E5	Q8L7A6
Q8L7A6	Q0WLB5
Q8L7A6	Q8RXD6
Q8L7A6	Q9ASS9
Q8L7A6	Q9LZL7
O81851	Q8L7B5
Q9SCK1	Q8L7B5
Q8L7B9	F4JCU0
Q8L7C2	Q8W5R5
Q8L7C2	Q94BT0
Q9FNR3	Q8L7C2
Q9SCK1	Q8L7C2
Q8L7C2	Q9STS3
Q9SYG2	Q8L7D0
Q8L7D1	Q8GXD8
Q9S736	Q8L7D1
Q67ZB3	Q6NQ63
Q84MB2	Q67ZB3
Q67ZB3	Q0WLB5
Q67ZB3	Q8L7T4
Q67ZB3	Q940H8
Q9C9L2	Q67ZB3
Q8L7E2	Q949M9
Q8L7G2	Q05431
Q8L7G8	Q9SJH7
Q8L7H4	Q9CAW9
Q8L7H4	Q9FX31
Q8L7H4	Q9S7W5
O49627	Q8L7K4
Q8VZQ4	Q8L7K7
Q8L7K7	Q9LIK0
Q8L7K7	Q9SCK1
Q8L7K7	Q9STS3
O49629	Q8L7L5
Q8H0T0	Q8L7L5
Q8L7L5	Q8L7L5
Q8LPN5	Q8L7L5
Q8L7L5	Q8VYJ2
Q940I0	Q8L7L5
Q8L7L5	Q9M810
Q94K05	Q8L7N0
Q8L7S2	Q94F58
Q8L7S4	Q8GYX3
Q8L7S4	Q8L7S4
Q8RXD6	Q8L7S4
Q8L7V8	Q8L7S4
Q8H1S2	Q8L7W3
Q8L7W3	Q8L7W3
Q8L7W3	Q94BN8
Q8L7W7	Q96331
Q8L7Y2	O22179
Q8L7Y2	O81629
Q6NQ80	Q8L7Y2
Q8L7Y2	Q8L7G9
Q8RXD6	Q8L7Y2
Q8L7Y2	Q8W5R5
Q93Y00	Q8L7Y2
Q94BX2	Q8L7Y2
Q9FIR9	Q8L7Y2
Q9SCK1	Q8L7Y2
Q8L7Y2	Q9T041
Q9SZZ4	Q8L7Z1
F4I1G5	Q9FZK5
Q8L814	Q949M9
Q8L856	Q8VZW1
F4JN35	Q8L856
Q94F58	Q8L856
Q8L866	Q8L866
Q39132	Q8L8S0
