interactor_A	interactor_B
P36118	Q06411
P28004	Q06411
P43572	Q06411
P25651	Q06411
P32489	Q06411
Q03338	Q06411
P53131	Q06411
P26343	Q06411
P39731	Q06411
P38781	Q06411
P47115	Q06411
P19541	Q06411
P38277	Q06411
Q02199	Q06411
Q07978	Q06411
P32788	Q06411
P43596	Q06411
P32828	Q06411
P33203	Q06411
P53335	Q06411
P40079	Q06411
P33420	Q06411
P25390	Q06411
Q06707	Q06411
P40457	Q06411
Q06631	Q06411
P22217	Q06411
P38699	Q06411
Q06411	P53191
P39678	Q06411
P53935	Q06411
P36058	Q06411
P32902	Q06411
Q06411	P40350
Q03654	Q06411
Q12446	P38822
P38822	Q12446
Q12446	P38822
Q12446	P38822
Q12446	P38822
EBI-11701537	P04802
Q03774	Q12009
P48567	EBI-11701537
EBI-11701334	P48567
EBI-12518732	Q08641
EBI-12518732	Q08641
EBI-12518732	Q08641
P08678	P17555
P08678	P17555
EBI-11683890	Q06706
Q02908	EBI-11683890
EBI-11701334	P38238
EBI-11701334	P31115
P31115	EBI-11681759
Q02648	EBI-12521831
Q02648	EBI-12521831
P07236	EBI-12557172
Q05506	EBI-11681775
EBI-11701296	P07884
EBI-10824938	P49960
YGL030W	P39520
YPR102C	P39520
YBR181C	P39520
P39521	P39520
P39521	P25368
P39521	P38930
P53254	P39520
P03069	P03069
Q01560	Q01560
Q01560	Q01560
P38428	Q02159
Q03162	Q07963
Q03465	Q07963
Q03465	Q03162
Q03465	Q03162
Q07963	P06104
P53299	P57744
P53299	P57744
P53299	P57744
P53299	P57744
3cjh	P32897
P53299	P32897
P32897	3cjh
P36107	Q06346-PRO_0000409445
P36107	Q06346
P36107	Q06346-PRO_0000409446
P36107	Q06346
P06104	Q07457
P06104	Q07457
Q07457	EBI-2461489
Q07457	Q07457
Q07457	Q07457
P06104	Q07963
Q07963	Q03465
P32361	P32361
P32361	P32361
P43132	P38827
P38827	P36104
YBR020W	P36104
P43132	YBR020W
YOL086C	P36104
YML123C	P36104
P61830	YBR020W
Q04089	P36104
P46669	P50106
P49687	Q04491
