mo2085	hu9298
rt10600	mo10884	hu17635
rt6132	hu2227	mo599
mo5940	rt14836	hu10943
hu11537	rt2915	mo6816
rt10031	hu10362	mo12147
hu11672	mo9845
rt15284	mo16743
mo16809	rt14350	hu11870
mo2782	rt3308	hu3239
hu1280	rt8389	mo435
hu2955	mo11539
hu7831	mo10139
rt10547	hu10209	mo13290
hu10087	mo16707
mo6260	rt3702	hu5942
hu15590	rt11387	mo11358
hu7996	mo6028	rt1226
hu1793	mo8894
rt575	hu564	mo3427
rt13066	hu14565
mo7947	rt7927	hu11330
hu16536	rt12242
hu2311	mo6924
mo13459	rt7560	hu11900
hu6200	rt6628	mo8754
mo162	rt1351	hu8578
hu45	rt84	mo131
rt12384	hu13324	mo16576
rt10726	hu10295	mo2255
mo11633	rt8231	hu11395
hu12053	rt8266	mo5311
rt7140	hu7952	mo7443
hu7570	rt13345	mo13601
mo15842	rt14045	hu17963
mo8616	rt12500	hu8117
rt10522	hu9208	mo11106
hu1954	rt397	mo85
rt10263	hu8334	mo12192
rt10033	hu10624	mo10146
mo3998	rt12055	hu5426
mo10943	rt2493	hu9551
rt4242	hu7136	mo4726
hu6084	rt9762	mo13416
rt10149	hu4360	mo5816
mo818	rt3343	hu2872
hu11533	mo4268
hu387	rt11946	mo10981
mo9336	rt14465	hu12974
hu10021	mo10441
rt1742	hu7500
hu16104	rt8087	mo16076
rt6600	hu8591	mo4547
mo6247	rt13296	hu13491
rt897	hu1492	mo1930
mo14783	rt15594	hu4923
hu2455	rt1053	mo816
mo3505	rt2104	hu8824
rt15537	mo15637
rt11607	mo8904
hu4322	rt5409	mo17407
mo9290	rt13316	hu15819
mo17029	rt9624	hu5180
hu17358	mo16549
hu12563	rt3347	mo13090
mo11931	rt11193	hu10759
mo11391	rt9357	hu7576
hu7838	rt3144	mo2011
mo6312	rt15521	hu15473
mo5179	rt8694	hu429
rt4509	hu16934
hu9593	rt10125	mo11025
rt10156	hu4988	mo6176
mo14221	rt12556	hu7808
hu8458	mo4036
rt330	hu5900	mo4932
hu15702	rt13972	mo15380
mo9165	rt11399	hu5084
rt14589	mo15584
rt8989	hu16442	mo9608
mo885	rt2004	hu5527
hu5656	mo15250
rt12584	hu14772	mo12726
mo11943	rt11838	hu7011
hu4608	rt7201	mo7016
mo4752	hu8457	rt308
mo5812	rt11312	hu9467
hu10722	rt13228	mo14847
rt12007	hu7786	mo5994
hu15246	rt13732	mo11038
hu6078	mo11960
hu915	rt1123	mo2310
rt6863	hu3746	mo9769
hu9142	rt6419	mo8493
mo400	rt713	hu919
mo1041	hu3448	rt3070
hu17368	mo16609
hu13336	mo9405
hu13204	rt13346	mo4113
rt5727	hu5871	mo1938
mo6890	rt12169	hu16007
rt13756	hu13742	mo15758
hu14602	rt1867	mo12234
rt4889	hu8469	mo9442
rt1874	hu5331	mo1268
rt299	hu1860	mo7232
mo787	rt3493	hu4932
