rt12097	hu17819	mo16362
mo107	hu12761
hu566	mo6993	rt4787
mo15904	hu14374
rt10576	hu15125	mo12077
rt8445	hu5861	mo5735
hu5513	mo8225	rt5920
rt14479	hu9653	mo12000
hu12334	mo11455	rt11336
mo17143	hu7574	rt6104
hu6864	mo5023	rt6566
rt15504	hu17349	mo16792
hu12853	mo3738	rt10549
mo15207	hu14574	rt8749
hu14535	mo11227	rt12088
mo4403	hu2793	rt1734
mo14940	hu2171
mo6906	hu11205
hu15709	mo15432	rt13280
hu6248	mo15033
hu10088	mo13747	rt6662
hu7414	mo13743	rt2665
hu8552	mo15944	rt10765
mo3292	hu787	rt3164
hu10207	mo13261	rt4744
hu13179	mo12901	rt5316
rt9706	hu5856	mo3296
mo15071	hu17135	rt13961
hu4043	mo3795	rt2244
mo4224	rt3031
mo2164	hu1970	rt1314
rt8337	hu13372
mo3291	hu8173	rt7494
rt9960	hu932	mo17330
mo16748	hu8911	rt15461
hu5579	mo8859	rt2590
hu14610	mo15570	rt15449
mo16097	hu11354
rt15516	hu15285	mo15051
hu10725	mo17378	rt7976
mo7937	hu5385	rt7042
mo4965	hu12032	rt8147
hu2540	mo957	rt10071
mo7550	hu13516
rt5397	hu16396	mo12587
rt6434	hu9626	mo10443
mo13575	hu14913
rt10155	hu11522	mo8048
rt14566	hu6377
rt1325	hu3763	mo2688
rt12541	hu15052	mo3593
hu13313	mo11949	rt14548
rt11019	hu15577	mo13884
mo8413	hu2468	rt2195
hu9860	mo6598	rt4092
rt15548	mo16375
rt2094	hu3834	mo4854
hu5536	mo5478	rt9523
hu1059	mo4558	rt3985
mo6068	hu10255	rt11109
hu7386	mo2027	rt1144
rt4378	hu5712	mo9452
rt10392	hu11147	mo13227
hu16937	rt14483	mo17441
mo15987	hu2156
hu17216	mo15852	rt5667
mo15630	hu16027
mo16116	rt3218
rt15014	mo11605
hu605	mo1698	rt9234
mo3862	hu14428	rt11361
hu5260	mo2530	rt1769
mo5737	hu3333	rt8436
hu9307	mo10485	rt7210
rt14730	mo15014
mo3640	hu9832	rt3575
mo1500	hu16394	rt13149
hu10919	mo15898	rt15078
mo17416	hu17745	rt8105
mo8082	hu8945	rt4897
mo10089	hu11446	rt11987
mo16836	hu17303
mo13983	hu11140	rt9839
rt10376	mo6002
rt9086	mo15194
rt8443	hu11459	mo16433
mo10220	hu6071	rt5357
mo12343	hu15222	rt12704
rt5581	hu8798	mo11346
hu7105	mo2396	rt9820
hu13964	mo5454
mo6023	hu7280	rt638
hu8623	mo16668	rt13013
mo7723	hu10197	rt1374
mo8521	hu5936	rt2025
mo16045	hu10827
mo11874	hu12775
hu9806	mo15350	rt9786
mo14222	hu3138	rt10228
hu16960	mo15765	rt13451
mo7325	hu9698
rt3526	hu3636	mo1049
rt3893	hu8501	mo2586
mo13858	hu16793
rt15682	hu9747	mo14035
mo12028	hu12052	rt6793
hu6465	rt6045	mo13
mo16022	hu14900
mo4265	hu6816	rt9049
hu5157	mo16319
rt14459	hu17719	mo16524
rt5977	mo16662
mo4984	hu16325
mo15777	hu3993
rt12723	hu14464
rt12653	hu11048	mo3322
rt4381	hu1027	mo6607
hu3644	mo10515	rt4996
mo1546	hu7568	rt3170
hu4051	mo1415	rt1418
hu11592	mo12281
rt4910	hu2722	mo4361
rt685	hu15648	mo9915
mo15442	hu15387	rt9938
hu614	mo351	rt3657
mo3878	hu2665	rt4541
rt13212	hu1563	mo12653
mo13394	hu16625	rt13855
hu7309	mo12522	rt6290
mo4529	hu16443
rt1027	hu1182	mo2079
mo14581	rt9499
hu15026	mo13593	rt13850
mo12842	hu8095	rt15656
rt12374	hu8132	mo6822
rt8489	hu420
mo8843	hu15251	rt1966
mo11595	hu7718
hu4511	rt1554	mo1683
mo11574	hu12969	rt7769
hu14359	mo16251
mo1013	hu4303
rt12637	hu4884
rt1152	hu5272	mo9167
mo3690	hu2877	rt2729
mo14210	hu12906
mo5976	hu11384	rt13053
hu3358	mo2711	rt1720
rt10710	hu16023	mo15007
rt13321	hu17578	mo16768
hu9149	mo17094	rt8279
rt7841	hu14369	mo9097
rt9339	hu9103	mo7648
hu14879	mo17008	rt15227
hu11879	rt14931
hu1782	mo4540	rt3252
hu2073	mo2924
hu275	mo6361	rt15583
mo6338	hu7082
mo14731	hu7251
mo12914	hu5257	rt5585
hu5751	mo1519	rt1359
hu7948	mo1311	rt7702
hu8959	mo9080
hu2535	mo17081	rt15607
mo2871	hu6149	rt9241
rt14727	mo17013
rt9010	hu6012	mo13684
rt9021	hu9389	mo13131
rt4743	hu2176	mo11713
rt7741	hu10608	mo9359
mo15985	hu13987	rt9428
hu15697	mo13784	rt15291
rt13237	hu5193	mo6832
hu17075	mo14727	rt12132
hu9581	mo7815	rt12306
mo4900	hu4842
hu10221	mo13092	rt9179
rt3766	hu1861	mo14802
rt230	hu981	mo4184
rt950	hu4701	mo2712
rt15210	mo15333
hu14969	mo14774	rt5371
rt1653	hu2100	mo2181
mo14505	hu14843	rt13813
rt10543	mo7334
rt9565	mo12483
mo13729	hu15765
rt8256	hu15374	mo12259
hu7425	mo358	rt960
hu8511	mo7034	rt6141
hu17894	mo15950	rt14586
mo1770	hu8100	rt9138
hu3796	mo5579	rt1473
mo8156	hu15538	rt14755
hu11623	mo3750	rt4034
mo10503	hu13638
hu2301	mo10839	rt7564
mo17018	hu16713	rt15245
mo6574	hu5219
rt2385	hu4775	mo12179
hu4724	mo5393	rt6022
hu7790	mo10073
hu12971	mo10308	rt2687
rt11155	hu14801	mo9099
mo3170	hu11030	rt8542
hu12185	mo10634	rt9082
mo7327	hu5974	rt8083
rt13725	mo7693
mo2665	hu7303	rt13922
mo7314	hu8554	rt8663
mo13249	hu8136
mo667	hu5163	rt800
rt6765	hu2706	mo3933
hu13088	mo14838	rt12758
mo11307	hu11605	rt7076
hu9179	mo2889	rt5240
mo8848	hu1226	rt8401
hu5931	mo12256	rt10483
mo11836	hu15539	rt12818
mo17503	rt5646
mo7115	hu8238
hu15191	mo15478	rt1573
hu12184	mo5320	rt1304
hu12322	mo66	rt10444
hu14683	mo6757	rt7764
hu1660	mo2836	rt15675
rt4625	hu7460	mo2182
mo14935	hu9578	rt12853
hu17838	mo16025	rt13036
mo1951	hu4190	rt4548
mo10796	hu10961
mo4367	hu12994	rt1743
hu3683	mo2536	rt9644
rt4770	mo12787
mo11999	hu10697	rt8070
mo1559	hu1339	rt1371
hu16837	mo11773	rt3485
hu13699	mo14201	rt12737
hu7909	mo11635	rt11378
rt315	hu2426	mo5360
mo8954	hu1780	rt5468
